"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"20:03:47,6228845","Powershell.exe","2868","CreateFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Desired Access: Generic Write, Read Attributes, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Open No Recall, Attributes: n/a, ShareMode: Read, Write, AllocationSize: n/a, OpenResult: Opened"
"20:03:47,6237258","Powershell.exe","2868","SetBasicInformationFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","CreationTime: 01.01.1601 02:00:00, LastAccessTime: 01.01.1601 02:00:00, LastWriteTime: 01.06.2014 00:00:00, ChangeTime: 01.01.1601 02:00:00, FileAttributes: n/a"
"20:03:47,6244924","Powershell.exe","2868","CloseFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS",""
"20:03:47,6296113","SearchProtocolHost.exe","3996","CreateFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Open Reparse Point, Open Requiring Oplock, Attributes: N, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:03:47,6298077","SearchProtocolHost.exe","3996","FileSystemControl","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Control: FSCTL_REQUEST_FILTER_OPLOCK"
"20:03:47,6298447","SearchProtocolHost.exe","3996","QueryStandardInformationFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","AllocationSize: 3.727.360, EndOfFile: 3.724.326, NumberOfLinks: 1, DeletePending: False, Directory: False"
"20:03:47,6298779","SearchProtocolHost.exe","3996","QueryBasicInformationFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","CreationTime: 04.09.2014 18:56:55, LastAccessTime: 04.09.2014 20:02:42, LastWriteTime: 01.06.2014 00:00:00, ChangeTime: 04.09.2014 20:03:46, FileAttributes: A"
"20:03:47,6299075","SearchProtocolHost.exe","3996","QueryFileInternalInformationFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","IndexNumber: 0x1100000000b286"
"20:03:47,6299433","SearchProtocolHost.exe","3996","FileSystemControl","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","NOT REPARSE POINT","Control: FSCTL_GET_REPARSE_POINT"
"20:03:47,6300913","SearchProtocolHost.exe","3996","QuerySecurityFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","BUFFER OVERFLOW","Information: Owner, Group, DACL"
"20:03:47,6301262","SearchProtocolHost.exe","3996","QuerySecurityFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Information: Owner, Group, DACL"
"20:03:47,6301600","SearchProtocolHost.exe","3996","QueryNameInformationFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Name: \Users\peter\KFLog\mapdata\airfields\WELT2000.TXT"
"20:03:47,6310254","SearchProtocolHost.exe","3996","QueryBasicInformationFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","CreationTime: 04.09.2014 18:56:55, LastAccessTime: 04.09.2014 20:02:42, LastWriteTime: 01.06.2014 00:00:00, ChangeTime: 04.09.2014 20:03:46, FileAttributes: A"
"20:03:47,6320318","SearchProtocolHost.exe","3996","CreateFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Desired Access: Generic Read, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Disallow Exclusive, Attributes: N, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:03:47,6570706","SearchProtocolHost.exe","3996","CreateFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Desired Access: Read Attributes, Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:03:47,6571607","SearchProtocolHost.exe","3996","QuerySecurityFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","BUFFER OVERFLOW","Information: Owner"
"20:03:47,6572037","SearchProtocolHost.exe","3996","QuerySecurityFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Information: Owner"
"20:03:47,6572406","SearchProtocolHost.exe","3996","CloseFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS",""
"20:03:47,6653708","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 0, Length: 196.608, Priority: Very Low"
"20:03:48,8649121","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 196.608, Length: 131.072"
"20:03:49,0214106","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 327.680, Length: 131.072"
"20:03:49,1668880","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 458.752, Length: 131.072"
"20:03:50,3509930","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 589.824, Length: 131.072"
"20:03:50,5136407","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 720.896, Length: 131.072"
